step,stage,model,input_tokens,output_tokens,cost_usd,system_prompt,user_payload,received,error
0,input,n/a,0,0,0,,claim_id=barbie-lilli-steal-like-artist; source=runs/goralik-barbie/lilli-glm-fix6/00_source_block.txt,chars=9680,
1,E-editor,gpt-5-2,13628,1567,0.045787,"Ты — редактор канала: научпоп про историю визуала. Кадр, шрифт, костюм,
мультфильм, вывеска, упаковка — что угодно визуальное. Задача: интересно
рассказать.

Тебе дали первичный текст и аудиторию. Выбери одну историю и собери бриф.

ФОРМАТ. По умолчанию — экскурсия: есть коллекция или ряд экземпляров, которые
интересно разглядывать. Аргумент бери только если показывать нечего и надо
доказывать.
- excursion → exhibits: 6–10 штук {name, what_to_see, note?, source_quote?}
- argument → proof_plan: РОВНО 3 {point, source_quote}

ЭКСПОНАТЫ (для экскурсии). На каждый: название и что конкретно видно в кадре.
Не объяснение смысла, а наблюдение (крой, цвет, деталь, что убрали).

УГОЛ. Не пересказывай хронологию, она предсказуема. Возьми ход, который ломает
прямую линию, и назови его: увеличить до предела · уменьшить · сделать
наоборот · оживить · перенести в прошлое · перенести в будущее · убрать
совсем · довести до абсурда.

ВЫВОД. НЕ придумывай его. Найди в первичном тексте, к чему автор пришёл, и
дай conclusion: {source_quote — дословная короткая цитата, plain — то же
живыми словами}. Если вывода в тексте нет — topic_ready=false и коротко
опиши в idea_pitch; такой бриф в производство не идёт.

СЛУЖЕБНОЕ (для человека/выбора; в озвучку не пойдёт): why_viewer,
recommended_method + две alternative_methods, idea_pitch.

БИБЛИОТЕКИ (в user payload; id или none):
menu_reel_structures → selected_structure;
menu_idea_triggers → selected_idea_trigger;
menu_story_methods → recommended_method.

Верни JSON StoryBrief:
format, main_thought, angle, opening,
exhibits ИЛИ proof_plan,
conclusion {source_quote, plain},
why_viewer, recommended_method, alternative_methods,
selected_structure, selected_idea_trigger, idea_pitch,
topic_ready, needs_external_research, research_queries,
ending_type (formula|reactive).

Не пиши сценарий. Не выдумывай фактов. Источник и автор — не для озвучки.
Внутри строк JSON не используй ASCII-кавычки `""`; для цитат — «ёлочки».

---
ЗНАНИЯ (меню, не лекция — выбери пункт, не пересказывай блок)
УГЛЫ ФАНТОГРАММЫ — выбери один, назови в angle:
- увеличить до предела — раздуть деталь/смысл, пока не станет видно устройство
- уменьшить до минимума — свести историю к одной крошечной вещи
- сделать наоборот — привычное чтение вывернуть
- оживить от 1 лица — дать предмету/кадру говорить самому
- перенести в прошлое — та же форма в другой эпохе
- перенести в будущее — что станет с этим кодом дальше
- убрать совсем — что рухнет, если детали не будет
- довести до абсурда — логику дожать до края

ИНТЕРЕСНАЯ ТЕМА — в истории желательны все четыре:
- конкретная вещь, которую можно показать
- неожиданность: не то, что зритель предполагал
- есть, о чём поспорить или что обсудить
- задевает зрителя, а не только предмет","{'claim': {'claim_id': 'barbie-lilli-steal-like-artist', 'kind': 'origin', 'claim': 'Первая Барби в полосатом купальнике почти копирует немецкую Лилли: фигуру оставили, соски убрали — и взрослую новинку выпустили как подростковую модель.', 'counter_expectation': 'Барби придумали с нуля как идеальный образ американской девочки-подростка.', 'visual_hint': 'Лилли и первая Барби OSS в крошечном купальнике рядом', 'object_anchor': 'первая Барби OSS в полосатом купальнике', 'contrast_pair': {'state_a': 'немецкая Лилли — взрослая кукла из Bild, магазины для взрослых', 'state_b': 'первая Барби OSS — та же фигура без сосков, полка детских игрушек', 'shift': 'визуальный ДНК тот же, регистр сменился с новинки для мужчин на teen fashion model'}, 'mechanism_term': 'кража-с-переносом', 'mechanism_explain': 'Берут готовый силуэт комиксной «дамочки» 50-х и пересаживают в другой контекст: тот же купальник и пропорции работают уже как игрушка для девочек.', 'citation': {'locator': 'гл. 3, Лилли → Барби', 'quote': 'фигура первой Барби осталась фактически фигурой Лилли — ей только удалили соски'}, 'scope': {'period': '1955–1959', 'region': 'DE→US', 'author_or_work': 'Bild Lilli / Mattel Barbie OSS'}, 'source_segment_id': 'barbie-lilli', 'confidence': 0.92}, 'primary_text': 'Барби ← Лилли · выдержка из гл.3 «Полая женщина» (Горалик, 2005)\n\nГлава третья. Прекрасный лик и голос дивный: изменения внешности Барби\n\nИсточник: Линор Горалик, «Полая женщина: Мир Барби изнутри и снаружи» (НЛО, 2005).\n\nГлава третья\n\nКогда мы говорим, что Барби является самым узнаваемым женским образом на планете, волей-неволей представляется некоторая усредненная картинка: женская фигурка, небольшой рост, улыбчивое лицо с чрезмерно идеальными чертами и блондинистая сияющая копна. Между тем я имела удовольствие наблюдать в лондонском Музее детства маленькую девочку и ее маму, внимательно разглядывающих экспонаты в витрине, отведенной под Барби. Я не помню точно, была ли там реально самая первая Барби (коллекционеры пользуются термином OSS - Original Swim Suit, Барби в ее самом\n\nпервом костюмчике, знаменитом черно-белом купальнике без бретелек) или ее изображение, - тех, первых Барби осталось совсем мало, настолько мало, что музею вполне могло не достаться. Так или иначе, стоящая впереди меня дама говорила дочке голосом восторженного гида: ""Видишь, honey, это самая первая кукла Барби!"" Девочка посмотрела тяжелым взглядом сперва на экспонат, потом на маму и сказала голосом человека, отрицающего собственную причастность к убийству: ""Это не Барби"". Мама нахмурилась. ""Honey, тут написано - самая первая Барби"". Девочка посмотрела на маму и сказала вежливо и настойчиво: ""Значит, тут написано неправильно"". Мне было смешно, и я позволила себе вмешаться в беседу. Видишь ли, honey, сказала я, Барби уже очень много лет. Честно говоря, ей без малого 46. И самые первые Барби не были похожи на сегодняшних. Лицо Барби много раз менялось, да и фигура тоже. Девочка пожевала перепачканным в чем-то синем ротиком, повернулась спиной ко мне и лицом к витрине и сурово спросила: ""А где же настоящая Барби?"" Я почувствовала, что диалог не удался. Если честно, то самая первая Барби - да и все модели, созданные, скажем, до 1971 года, - на фоне сегодняшних нежных красавиц выглядят чудовищно. Одним из доказательств исключительной узнаваемости Барби лично для меня оказался тот факт, что при взгляде на любую модель, отличную от современных (т.е. созданных в 1998 году), я немедленно чувствую, что с ними ""что-то не так"". В отличие от той маленькой девочки в лондонском музее, я не отказываюсь признавать в них Барби; но они определенно режут глаз. Безумное обилие вариаций современных Барби очень быстро заставляет забыть прежний визуальный облик куклы; видимо, именно поэтому эволюции ее пластиковых мордочки и тельца не сказывались на продажах - хотя каждая модификация поначалу вызывала\n\nвсплеск возмущения среди одних наблюдателей и судороги восторга у других. Чтобы более или менее объяснить, почему самая первая Барби выглядела так странно, придется прямо здесь раскрыть одну из самых страшных тайн Барби тайну, которую производители куклы долгое время скрывали, тайну, которая всплыла наружу только несколько лет назад и породила огромную волну обвинений, пародий, спекуляций и исследований, своей серьезностью, возможно, заслуживающих более значительного объекта. Дело в том, что наша невинная и чистая девочка, за чью непорочность так упорно борется компания - дочь проститутки. Ее прообразом явилась уже упомянутая мной мельком кукла Лилли - немецкая игрушка. Лилли была трехмерной версией одноименного персонажа популярного послевоенного комикса, печатавшегося в таблоиде Bild Zeitung с 1952 года. Лилли была проституткой с характером - разбитной, наглой, жестокой хищницей, любой ценой выуживавшей деньги из ""жирных котов"", как она называла своих клиентов. Когда в 1955 году Лилли стала трехмерной, мужчины с удовольствием покупали ее в магазинах для взрослых (больше она нигде не продавалась) и вволю отыгрывались на маленькой шлюшке, таская ее за собой в кармане или подвешивая на переднее стекло машины, если, конечно, у них не было детей: зрелище такой сисястой куклы в крошечном купальничке совершенно не подходило для их глаз. Когда через четыре года ровно такая же сисястая Барби в ровно таком же крошечном купальничке появилась в США в качестве детской игрушки, шок был предсказуем. Каждый раз, когда я читаю о происхождении Барби от Лилли, я поражаюсь одному факту: никто и нигде не объясняет, почему первая Лилли - а следовательно, и первая Барби - выглядела именно так, а не иначе; по крайней мере, мне ни разу не удалось увидеть подобное\n\nобъяснение. Откуда эта странная, неестественная форма головы? Эта чрезмерно тонкая талия, за которую создателей Барби так яростно поносят феминистки, медики и педагоги на протяжении вот уже сорока лет, заявляя, что Барби вызывает у маленьких девочек комплекс неполноценности и неправильное восприятие человеческого тела? Откуда эти странные, слишком туго, по-взрослому завитые волосы - у куклы, которую компания позиционировала как ""Teenage Fashion Model""? Создается впечатление, что ответа на эти вопросы не существует. А между тем, кажется мне, он существует, да еще и какой простой! Может быть, я излишне самонадеянна, но каждый раз, когда я думаю о том, что Барби была фактически копией трехмерной Лилли, а Лилли была фактически копией персонажа из комикса, мне становится ясно, почему Лилли сложена так, а не иначе. У Лилли чрезмерно узкая талия и крутая попа, у Лилли треугольная голова, у Лилли странная прическа потому что такой была манера изображать ""дамочек"" в комиксах 50-х годов. Платья с высоким бюстом и широченными юбками визуально делали талию неестественно тонкой, а попу и грудь - неестественно большой; головка изображалась так, чтобы создать комический эффект; прическа с ловким завитком на лбу была изобретением пародиста. Почти все это подчеркнуто-комическое, намеренно-преувеличенное великолепие по известным одной покойной Рут Хендлер причине было сохранено за Барби, призванной олицетворять реалистичную модель девочки-подростка. Почему - бог весть; возможно, Хендлер стремилась сделать свою ""первую взрослую куклу"" как можно более взрослой, а возможно, такая преувеличенность черт просто не показалась ей чрезмерной. Так или иначе за исключением нескольких мелких деталей первая Барби оказалась почти точной копией Лилли.\n\nУ Лилли были брови ниточкой и губы бантиком, очень тяжелый макияж - сильно подведенные глаза и ярко-алая помада, не очень естественный, слишком розовый цвет лица и тела, волосы, собранные на макушке в пучок и подвернутые валиком на затылке, уже упомянутый бойкий завиток на лбу, очень длинная шея, чрезмерно узкая талия. При всей своей непристойности Лилли, как и Барби, была лишена половых органов, но зато у нее были соски (на самом деле кончики ее грудей просто были относительно заострены), каковых Барби была лишена от рождения. Она смотрела немного в сторону и вниз. Когда Хендлер привезла Лилли из поездки в Австрию (Германию, Швейцарию - тут источники расходятся), она попросила своих дизайнеров ""сделать из Лилли тинэйджера"". По утверждению производителя, этим занимался известный изобретатель Джек Райан - выпускник Йельского университета, в будущем - шестой муж актрисы За-За Габор, до прихода в компанию работавший на Пентагон и участвовавший в создании крылатых ракет Sparrow и Hawk. Новый, более пристойный макияж кукле, по утверждению компании, делал Бад Вестмор, ""король грима"" с киностудии Paramount Pictures. Между тем не так давно скульптор Энтони Булон заявил, что подлинным создателем первой Барби был на самом деле он, и только он. На своем официальном сайте он разоблачает бессовестных супругов Хендлер, присвоивших себе всю славу его изобретения, подробно описывает процесс разработки и отливки форм для первой Барби и утверждает, что компания заплатила ему всего лишь 800 долларов за все его труды, в то время как сама компания уже сорок с лишним лет гребет деньги лопатой. Булон клянется, что прообразом для лица той самой Барби OSS была его собственная жена, Лилис Булон. В целом впечатление от сайта двойственное - кажется, что его создавал не вполне\n\nвменяемый человек. В то же время за сорок шесть лет многое могло измениться... Так или иначе фигура первой Барби осталась фактически фигурой Лилли - ей только удалили соски. Что же касается лица, то тут было предпринято немало усилий: губы стали полнее и обрели более мягкие очертания, брови были подрисованы шире, но карикатурная форма головы с чрезмерно высоким лбом сохранилась. Жесткие волосы были уложены валиком за затылке, завиток на лбу Лилли сменился кудрявой челкой, тело приобрело более естественный оттенок. На первой Барби - их делали в Японии по лицензии ""Маттел"" - были шлепанцы с высокими каблуками и знаменитый полосатый купальник. Глаза с белой радужкой были подведены очень широкой черной линией, веки покрыты голубыми тенями, губы и ногти на руках и ногах накрашены ярко-алым, в ушах покачивались огромные цыганские серьги. Меньше всего на свете этот персонаж походил на девочку-подростка, какой ее представляли создатели, и первые рецензенты, даже не зная о существовании Лилли в качестве прототипа, недаром говорили, что кукла кажется им ""пугающей, порочной и открыто предлагающей себя"". С первого же дня коллеги Рут Хендлер начали уговаривать ее несколько изменить лицо Барби, но Хендлер упиралась, боясь потерять ""узнаваемость"" куклы, начавшей немедленно приобретать бешеную популярность у маленьких девочек. Наконец спустя год с лишним с момента появления Барби на рынке компания внесла некоторые коррективы в ее внешность. Форма головы осталась прежней, но изменилась раскраска: более светлые брови обрели мягкий изгиб вместо агрессивного излома, исчезла подводка нижнего века, а серьги-кольца сильно ужались в диаметре. В том же году был заменен тип винила, из которого изготавливалась кукла: новая смесь не теряла цвета с годами, в то время как куклы,', 'audience': '# Аудитория\n\n* **Кто (коротко):** дизайнеры, арт-директора, иллюстраторы, аниматоры,\n  режиссёры, фотографы, стилисты, модельеры, контент-креаторы и\n  SMM-специалисты 20–40 лет. Люди, которые профессионально или\n  полупрофессионально создают визуал, следят за современными трендами, но не\n  всегда имеют системное образование в истории искусства, анимации и моды.\n\n* **Что УЖЕ знают:** умеют собирать референсы и мудборды, отличают актуальный\n  визуал от устаревшего, понимают базовые принципы композиции, цвета,\n  стилизации и производства контента. Знают Ван Гога, Леонардо, Микеланджело,\n  сюрреализм, Баухаус, поп-арт, Disney, Pixar, McQueen, Margiela, Mugler и\n  Gaultier, но чаще как визуальные маркеры, чем исторический процесс. Знакомы\n  с нейросетями, генерацией изображений, промптами и референсами.\n\n* **Чего не знают, но стыдно не знать:** кто придумал знакомый приём, кто на\n  кого повлиял и почему стиль считался радикальным. Не всегда различают\n  авангард, деконструкцию, провокацию, цитату, оммаж и копирование. Особенно\n  болезненен вопрос: почему современный тренд выглядит именно так и где это\n  уже было раньше.\n\n* **Что даёт им статус в их среде:** редкий, но понятный референс, связанный с\n  актуальным проектом; происхождение приёма, силуэта, анимационной техники или\n  эстетики; архивный кейс и точный термин, которые можно утащить в презентацию,\n  концепцию, мудборд или защиту идеи.\n\n* **От чего устали:** от «пяти фактов», Википедии, школьных биографий,\n  стерильного Pinterest-визуала и эстетичных нарезок без мысли. От фраз\n  «мода циклична», «авангард нарушает правила», «анимация не только детская»\n  без конкретного кейса. От снобизма, культурного шейминга и споров «ИИ всё\n  сделает / ИИ тупой».\n\n* **Как говорят между собой:** дружелюбно, неформально и профессионально:\n  «реф», «визуал», «насмотренность», «мудборд», «кейс», «кампейн»,\n  «продакшн», «арт-дирекшен», «стилизация», «силуэт», «архив»,\n  «деконструкция», «цитата», «оммаж». Говорят: «это считывается»,\n  «слишком буквально», «выглядит собранно», «хороший реф», «это уже было»,\n  «идея сильнее исполнения», «можно утащить в проект». Тон — опытный коллега,\n  который нашёл сильный архивный кейс и рассказывает о нём команде.', 'menu_story_methods': [{'id': 'bylo_stalo', 'name': 'Было / Стало', 'suits': 'Визуал или объект, который менялся во времени.', 'beats': [{'было': 'как выглядело / читалось раньше'}, {'стало': 'что изменилось в кадре'}, {'урок': 'что это меняет в чтении сейчас'}], 'example': 'Сравнение «до» и «после» не про прогресс ради прогресса — про то, как сменился допустимый силуэт.'}, {'id': 'a_vot_nifiga', 'name': 'А вот нифига!', 'suits': 'Очевидный вывод оказывается ложным; нужен переворот.', 'beats': ['привычная версия', 'удар фактом / кадром', 'как читать иначе'], 'example': 'Все видят профессию. В кадре — разрешение на профессию.'}, {'id': 'zhest_bol_happyend', 'name': 'Жесть. Боль. Happy End', 'suits': 'Объект или приём прошёл через отвержение и вернулся.', 'beats': ['первая преграда / отвержение', 'личная или культурная борьба', 'возвращение / переворот смысла'], 'example': 'Сначала форма выглядит «не той». Потом становится ясно, зачем её держали.'}, {'id': 'kacheli', 'name': 'Эмоциональные качели', 'suits': 'Сначала визуал отталкивает, затем захватывает — или наоборот.', 'beats': ['кризис / отторжение', 'эмоция зрителя', 'перелом и новая ставка'], 'example': 'Сначала бесит. Потом не можешь отвести глаз — и понимаешь механизм.'}, {'id': 'kak_delal', 'name': 'Как я это увидела', 'suits': 'Личный путь к пониманию вещи, книги или приёма.', 'beats': ['конкретные шаги наблюдения', 'метод / что сравнивала', 'неожиданная трудность чтения'], 'example': 'Не «как делать», а «как я разобрала кадр»: что смотрела первой.'}, {'id': 'otkroy_dushu', 'name': 'Открой душу', 'suits': 'Личная причина, почему визуал зацепил автора.', 'beats': ['кто я и зачем смотрю', 'эмоциональная привязка', {'интрига': 'дальше будет жёстче'}], 'example': 'Я слишком долго смотрела на эти перчатки — и вот почему.'}, {'id': 'odna_detal', 'name': 'Одна деталь', 'suits': 'Один незаметный факт меняет чтение всей истории.', 'beats': ['деталь крупным планом', 'привычное чтение', 'переворот от детали'], 'example': 'Не костюм целиком — перчатки. Они выдают регистр.'}, {'id': 'lozhnyy_sled', 'name': 'Ложный след', 'suits': 'Зритель уверен, что знает объяснение, но источник ведёт в другое.', 'beats': ['ложная уверенность', 'улика против неё', 'настоящее объяснение'], 'example': 'Кажется, что это про вдохновение девочек. Источник ведёт в другое.'}, {'id': 'tsena_resheniya', 'name': 'Цена решения', 'suits': 'Красивый продуктовый или визуальный ход имеет неожиданную цену.', 'beats': ['красивый ход', 'что за него заплатили', 'ставка для сегодня'], 'example': 'Безопасный силуэт продаётся лучше — ценой честной грязи профессии.'}, {'id': 'vizhu_tsel', 'name': 'Вижу цель — не вижу препятствий', 'suits': 'Сразу ясная конечная точка чтения кадра, потом путь к ней.', 'beats': ['цель / финальный кадр смысла', 'почему это важно', 'что мешало увидеть сразу'], 'example': 'Финиш: костюм = разрешение. Дальше — как к этому пришли.'}, {'id': 'moya_dvizhuka', 'name': 'Моя движуха', 'suits': 'Внутренняя мотивация разбора: зачем автору вообще это расковыривать.', 'beats': ['что двигает разбор', 'что хочет доказать', 'внутренний конфликт / сомнение'], 'example': 'Меня бесит, когда «карьеру» рисуют без труда — вот зачем этот разбор.'}, {'id': 'novyy_ya', 'name': 'Новый я / новая среда', 'suits': 'Объект попал в чужой регистр и учится новым правилам полки.', 'beats': ['новая среда / полка', 'растерянность чтения', 'как адаптировали форму'], 'example': 'Взрослый силуэт пересадили на детскую полку — и правила сменились.'}], 'menu_reel_structures': [{'id': 'ostro_social', 'name': 'Остро-социальная тема', 'suits': 'Болезненная/возмутительная история ЦА → ключевая мысль → что делать.', 'beats': ['триггерный заголовок / суть истории', 'история', 'вывод / ключевая мысль', 'как решить / что поможет', 'призыв к действию или вопрос зрителю']}, {'id': 'broad_pain', 'name': 'Широкая тема, которая волнует 9/10', 'suits': 'Массовая боль/вопрос из комментов; узнавание → решение.', 'beats': ['проблема / вопрос ЦА', 'узнавание / эмоция', 'переход', 'решение', 'призыв или вопрос']}, {'id': 'instrumental_q', 'name': 'Инструментальный вопрос', 'suits': 'То, что ЦА гуглит/спрашивает: как сделать X → контекст → шаги.', 'beats': ['вопрос ЦА', 'контекст / ситуация', 'переход', 'решение по пунктам', 'призыв или бонус']}, {'id': 'magic_numbers', 'name': 'Магия чисел / перечисление', 'suits': '3 типа, 5 ошибок, уровни, порядок — мозг любит список с опорой.', 'beats': ['заявка числа/порядка', 'пункты с характером (не скучный список)', 'вывод / ударная мысль', 'вопрос или CTA']}, {'id': 'character', 'name': 'Персонаж / ситуативка', 'suits': 'Показать, не рассказать: собирательный неприятный клиент или типаж.', 'beats': ['ввод персонажа / ситуации', 'реплики и претензии персонажа', 'зеркало проблемы ЦА', 'вывод / удар']}, {'id': 'hyperbole', 'name': 'Гиперболизация', 'suits': 'Выкрутить знакомую проблему/образ до абсурда — основа сарказма.', 'beats': ['знакомая ситуация ЦА', 'раздувание деталей до абсурда', 'удар / узнавание']}, {'id': 'new_context', 'name': 'Продукт / объект в новых условиях', 'suits': 'Поставить вещь в абсурдный сегмент или нестандартные обстоятельства.', 'beats': ['обычный контекст объекта', 'неожиданный сегмент / обстоятельство', 'как «работает» там', 'вывод / вопрос']}, {'id': 'what_would_i', 'name': 'А что бы я сделал(а)…', 'suits': 'Личный пошаговый план «с нуля» вместо абстрактных советов.', 'beats': ['«как бы я…»', '3–5 конкретных шагов', 'выгода / почему так', 'доказательство', 'вопрос или CTA']}, {'id': 'case_review', 'name': 'Рилс-обзор чужого успеха', 'suits': 'Разбор кейса через контраст: добился X без обязательного ресурса Y.', 'beats': [{'зацепка': 'как [герой] сделал [результат] без [ресурс]'}, 'обзор приёмов', 'вывод для аудитории', 'вопрос или CTA']}, {'id': 'myth_bust', 'name': 'Разрушение мифа', 'suits': 'Популярное неверное убеждение → почему нет → как на самом деле.', 'beats': ['озвучить миф', 'кому смотреть', 'зачем досмотреть', 'разрушение + своя точка зрения', 'вопрос или CTA']}, {'id': 'historical', 'name': 'Исторический рилс', 'suits': 'Провокационное утверждение → откуда пошло → ключевой приём эпохи.', 'beats': ['провокационное утверждение', 'история / откуда пошло', 'ключевое действие, которое это закрепило', 'что это меняет в чтении сейчас', 'вопрос зрителю']}, {'id': 'newsjack', 'name': 'Ньюсджек', 'suits': 'Свежий инфоповод вшить в архивный/визуальный разбор без натянутой рекламы.', 'beats': ['новость / инфоповод одной фразой', 'неожиданная связка с кадром/объектом', 'ирония или контраст', 'вывод для чтения визуала', 'вопрос зрителю']}, {'id': 'shock_open', 'name': 'Шок-открытие 1.5 секунды', 'suits': 'Нужен взрывной старт: контраст, загадка или запрет в первом кадре.', 'beats': ['ударный первый кадр / фраза', 'короткая недосказанность', 'раскрытие уликами', 'вопрос или выбор зрителю']}, {'id': 'none', 'name': 'Без структуры из библиотеки', 'suits': 'Ни одна не близка — работай свободной научпоп-линией.', 'beats': []}], 'menu_idea_triggers': [{'id': 'old_new_photo', 'name': 'Было/стало кадра', 'angle': 'Сравни старый и новый вид объекта: что изменилось внешне и в смысле.'}, {'id': 'book_insight', 'name': 'Инсайт из книги', 'angle': 'Один конкретный инсайт из источника → что он меняет в чтении визуала.'}, {'id': 'trend_forecast', 'name': 'Тренд в нише', 'angle': 'Что происходит с визуальным кодом сейчас и куда он ведёт.'}, {'id': 'case_breakdown', 'name': 'Разбор кейса', 'angle': 'Взять одну вещь/серию и разобрать, как именно устроен кадр.'}, {'id': 'hard_problem', 'name': 'Сложная задача', 'angle': 'Проблема чтения/производства визуала → как её разрулили.'}, {'id': 'beginner_mistakes', 'name': 'Ошибки в начале', 'angle': 'Как неправильно читали объект раньше — и что вскрылось.'}, {'id': 'direct_faq', 'name': 'Частый вопрос', 'angle': 'Развернутый ответ на типичный вопрос аудитории про визуал.'}, {'id': 'expert_day', 'name': 'День в профессии', 'angle': 'Как выглядит рабочий взгляд на полку/референсы/архив.'}, {'id': 'detail_progress', 'name': 'Прогресс одной зоны', 'angle': 'Одна линия эволюции детали (костюм, шрифт, упаковка).'}, {'id': 'myth_series', 'name': 'Миф ниши', 'angle': 'Популярный миф про дизайн/бренд → разрушение кадром.'}, {'id': 'newsjack_visual', 'name': 'Ньюсджек визуала', 'angle': 'Быстрая реакция: свежий инфоповод → связать с историческим/архивным кадром.'}, {'id': 'shock_open', 'name': 'Шок-открытие 1.5с', 'angle': 'Первый кадр — контраст/загадка; смысл раскрывается дальше.'}, {'id': 'forbidden_list', 'name': 'Запрет / нельзя', 'angle': 'Формат «запрещено читать так» — потом улика.'}, {'id': 'absurd_use', 'name': 'Абсурдное применение', 'angle': 'Объект в нестандартных обстоятельствах (уже близко к new_context).'}, {'id': 'what_would_i_visual', 'name': 'Что бы я сделала', 'angle': 'Личный план: как бы разобрала/пересобрала этот визуал с нуля.'}, {'id': 'values_in_work', 'name': 'Ценности в работе', 'angle': 'Что важно в чтении кадра: точность детали, контекст, честность формы.'}, {'id': 'review_place_or_object', 'name': 'Обзор места/объекта', 'angle': 'Музейная витрина, полка, архивный стенд — что там врёт подпись.'}, {'id': 'themed_shelf', 'name': 'Тематическая полка', 'angle': 'Подборка из 3–5 визуалов одной линии с общим механизмом.'}, {'id': 'behind_process', 'name': 'Закулисье процесса', 'angle': 'Как собирали доказательную линию: что искали, что отбросили.'}, {'id': 'objection_visual', 'name': 'Разбор возражения', 'angle': '«Это просто игрушка/мода» → ответить уликами из кадра.'}, {'id': 'none', 'name': 'Без угла из банка идей', 'angle': 'Свободная линия от материала.'}], 'hook_triggers': [{'id': 'contradiction', 'name': 'Противоречие', 'use_when': 'Привычное объяснение прямо ломается источником.'}, {'id': 'forbidden_artifact', 'name': 'Запрещённый или невыпущенный артефакт', 'use_when': 'Есть вещь, которую сделали, но не пустили в мир.'}, {'id': 'number_reversal', 'name': 'Число, меняющее масштаб', 'use_when': 'Цена, тираж, срок или количество переворачивают смысл.'}, {'id': 'status_reversal', 'name': 'Статусный переворот', 'use_when': 'То, что выглядит престижно, на деле служит другой цели.'}, {'id': 'hidden_decision', 'name': 'Скрытое решение', 'use_when': 'Известный результат объясняется одним конкретным выбором.'}, {'id': 'personal_recognition', 'name': 'Личное узнавание', 'use_when': 'Автор действительно может назвать момент, который её зацепил.'}], 'contract_repair': ''}","```json
{
  ""format"": ""excursion"",
  ""main_thought"": ""Первая Барби не была создана «с нуля»: взрослый визуальный код немецкой Лилли почти целиком перенесли в детскую игрушку, изменив лишь несколько деталей, чтобы сменить регистр восприятия."",
  ""angle"": ""сделать наоборот"",
  ""opening"": ""Кажется, что Барби создавали как образ американской девочки-подростка. Но если смотреть не на легенду, а на силуэт и детали, видно почти готовую взрослую куклу, пересаженную на детскую полку."",
  ""exhibits"": [
    {
      ""name"": ""Лилли и первая Барби рядом"",
      ""what_to_see"": ""Одинаково вытянутый силуэт, очень тонкая талия, длинные ноги, маленькая голова, крошечный купальник."",
      ""source_quote"": ""«первая Барби оказалась почти точной копией Лилли»""
    },
    {
      ""name"": ""Грудь Лилли и Барби"",
      ""what_to_see"": ""У Лилли заметны заострённые кончики груди, у Барби эта деталь полностью сглажена."",
      ""source_quote"": ""«фигура первой Барби осталась фактически фигурой Лилли — ей только удалили соски»""
    },
    {
      ""name"": ""Лица двух кукол"",
      ""what_to_see"": ""У Барби губы стали мягче и полнее, брови шире, но высокий лоб и форма головы сохранились."",
      ""source_quote"": ""«губы стали полнее... но карикатурная форма головы с чрезмерно высоким лбом сохранилась»""
    },
    {
      ""name"": ""Причёска"",
      ""what_to_see"": ""У Лилли — завиток на лбу и валик на затылке; у Барби завиток заменён кудрявой чёлкой, укладка остаётся похожей."",
      ""source_quote"": ""«завиток на лбу Лилли сменился кудрявой челкой»""
    },
    {
      ""name"": ""Макияж"",
      ""what_to_see"": ""Толстая чёрная подводка, голубые тени, ярко-алые губы и ногти, тяжёлый взрослый грим."",
      ""source_quote"": ""«глаза... подведены очень широкой черной линией... губы и ногти... накрашены ярко-алым»""
    },
    {
      ""name"": ""Полосатый купальник OSS"",
      ""what_to_see"": ""Чёрно-белый купальник без бретелек почти повторяет визуальный образ Лилли в крошечном купальнике."",
      ""source_quote"": ""«ровно такая же сисястая Барби в ровно таком же крошечном купальничке»""
    },
    {
      ""name"": ""Украшения"",
      ""what_to_see"": ""Крупные серьги-кольца делают образ значительно взрослее заявленного возраста модели."",
      ""source_quote"": ""«в ушах покачивались огромные цыганские серьги»""
    },
    {
      ""name"": ""Две разные полки"",
      ""what_to_see"": ""Лилли продавалась в магазинах для взрослых, Барби — как «Teenage Fashion Model», хотя визуальный язык почти не изменился."",
      ""source_quote"": ""«она попросила своих дизайнеров ""сделать из Лилли тинэйджера""»""
    }
  ],
  ""conclusion"": {
    ""source_quote"": ""«фигура первой Барби осталась фактически фигурой Лилли — ей только удалили соски»"",
    ""plain"": ""Главное изменение было не в конструкции куклы, а в том, как тот же визуальный код адаптировали для детской аудитории.""
  },
  ""why_viewer"": ""Показывает, как один и тот же силуэт может полностью сменить смысл благодаря нескольким правкам и новому контексту — полезный кейс для любого, кто работает с референсами, оммажами и визуальными цитатами."",
  ""recommended_method"": ""novyy_ya"",
  ""alternative_methods"": [
    ""lozhnyy_sled"",
    ""odna_detal""
  ],
  ""selected_structure"": ""historical"",
  ""selected_idea_trigger"": ""myth_series"",
  ""idea_pitch"": ""Не спорить, была ли Барби «украдена», а показать кадр за кадром, как взрослая Лилли визуально превратилась в подростковую Barbie за счёт удаления и смягчения нескольких деталей."",
  ""topic_ready"": true,
  ""needs_external_research"": false,
  ""research_queries"": [],
  ""ending_type"": ""reactive""
}
```",
